City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1336,Maceio,BR,74.64,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
1343,Altagracia De Orituco,VE,73.31,broken clouds,9.8601,-66.3814,Posada Quinta Mi Refugio
1377,Sokoni,TZ,74.98,clear sky,-6.4333,39.55,Ujamaa Beach Resort
1379,Shirokiy,RU,72.68,overcast clouds,49.758,129.523,
1393,Aguimes,ES,71.65,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
1405,Voh,NC,73.38,clear sky,-20.9667,164.7,Le gîte du Koniambo
1415,Lodja,CD,73.98,overcast clouds,-3.4833,23.4333,
1420,Fria,GN,74.21,scattered clouds,10.4167,-13.5833,
1442,Benito Juarez,MX,71.83,broken clouds,19.385,-99.165,Hotel Beverly
1478,Xunchang,CN,74.8,clear sky,28.4543,104.715,Jiabin Inn
1482,Along,IN,72.97,broken clouds,28.1667,94.7667,Hotel West
1485,Linjiang,CN,70.88,overcast clouds,41.8069,126.9078,格林豪泰
1493,Basoko,CD,70.2,light rain,1.2391,23.616,Jackyna Hotel
1497,Beaufort,MY,74.44,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
1506,Kapoeta,SS,72.66,broken clouds,4.7717,33.5903,Eastgate Hotel
1507,Beyneu,KZ,72.48,few clouds,45.3167,55.2,NUR
1509,Bafra,TR,70.83,clear sky,41.5678,35.9069,Sevgi Otel
1510,Chaman,PK,74.14,overcast clouds,30.9236,66.4512,Niamat parda Center chaman
1516,Japura,ID,74.25,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
1520,Escanaba,US,71.91,scattered clouds,45.7453,-87.0646,Sunset Lodge
1522,Shizunai,JP,71.55,light rain,42.3339,142.3669,Shizunai Eclipse Hotel
1524,Hengshui,CN,74.43,clear sky,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
1527,Emba,KZ,70.61,few clouds,48.8264,58.1442,
1531,Bekhtery,UA,72.3,clear sky,46.251,32.2927,
1543,Goderich,CA,74.91,broken clouds,43.7501,-81.7165,Harmony Inn
1554,Eregli,TR,71.44,clear sky,37.5133,34.0467,Hotel Fuat Bey
1555,Djambala,CG,71.11,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
1556,Santa Maria Da Vitoria,BR,72.07,clear sky,-13.3947,-44.1886,Pousada Rio Current
1564,Baie-Saint-Paul,CA,72.34,broken clouds,47.4411,-70.4986,Hôtel Baie-Saint-Paul
1565,Horta,PT,72.64,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
1568,Hohhot,CN,72.57,overcast clouds,40.8106,111.6522,Sheraton Hohhot Hotel
1571,Kendari,ID,74.17,broken clouds,-3.945,122.4989,Hotel Wixel
1573,Imperia,IT,71.01,clear sky,43.9667,7.7833,La Stregatta
1591,Requena,ES,70.79,few clouds,39.4883,-1.1004,Hotel Avenida
1595,Mwene-Ditu,CD,72.41,overcast clouds,-7.0,23.45,African'zuri
1596,Wuwei,CN,70.16,broken clouds,37.9281,102.6414,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
1598,Padilla,CO,71.17,broken clouds,3.2204,-76.3139,La Granadina
1605,Amuntai,ID,72.57,overcast clouds,-2.4177,115.2494,Hotel Balqis
1606,Dustlik,UZ,73.89,scattered clouds,40.5247,68.0358,
1615,Khasan,RU,71.96,overcast clouds,42.4308,130.6434,Fangchuan Self-Driving Camp
1627,Ende,ID,72.7,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
1642,Pouembout,NC,72.77,clear sky,-21.1333,164.9,Camping de Tipenga
1648,Heihe,CN,70.38,overcast clouds,50.2441,127.4902,Hotel Strannik
1650,Pemba,MZ,72.12,scattered clouds,-12.974,40.5178,Guesthouse Samotina
1654,Weyburn,CA,74.41,clear sky,49.6668,-103.8511,Perfect Inns & Suites
1676,Muroran,JP,72.37,overcast clouds,42.3172,140.9881,Muroran Prince Hotel
1679,Waling,NP,71.19,light rain,27.9833,83.7667,Venus Hotel
1682,Javanrud,IR,74.37,clear sky,34.7961,46.5172,Bonnie power
1694,Natitingou,BJ,71.44,moderate rain,10.3042,1.3796,Cotonou
1712,Homer,US,71.49,clear sky,59.6425,-151.5483,Beluga Lake Lodge
1717,Santa Cruz De La Palma,ES,73.54,clear sky,28.6835,-17.7642,H10 Taburiente Playa
1723,Palora,EC,73.51,moderate rain,-1.7,-77.9333,Rancho grande
1731,Singaparna,ID,70.7,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
1746,Lugovoy,KZ,72.28,clear sky,42.9472,72.7644,Ж.Д Вокзал Луговая
1752,Bara,NG,72.43,light rain,10.3744,10.7288,
1758,Hebi,CN,73.67,clear sky,35.8992,114.1925,Wangfu Hotel
